rule,applicable_to,rule_location,type,implemented,rule_file,rule_element,rule_code,context_required,rule_id,uid
Ryffine uses DITA maps as the top-level containers for all deliverables.,Map,4,programmatic,False,,,,False,1,66f63444-b0a5-44c4-9035-9f92081c8e64
Use maps to organize content by use case or feature.,Map,4,semantic,False,,,,False,2,d6c4f37b-5034-4ed8-b7cc-d5f84a9c43b2
Use maps to organize related topics into single reusable units.,Map,4,semantic,False,,,,False,3,fcc121a9-a22d-4028-a260-2d3b0cdc765f
Use maps to organize topics that all relate to a single user goal.,Map,4,semantic,False,,,,False,4,06ef4390-4ec3-4b67-814c-697de1ff5bde
"Use maps to divide large sets of related information into smaller, more manageable units.",Map,4,semantic,False,,,,False,5,8efd026b-e128-4637-964e-e5bc466fab36
Use maps to establish relationships between parent/child and sibling topics.,Map,4,semantic,False,,,,False,6,d217dc43-d3b1-4063-bc06-1df98ecbb2e4
All Ryffine maps must have a <map> base element.,Map,4,rng,True,ryffineMap.rng,<start>,"<start>\n    <ref name=""map""/>\n  </start>",False,7,72302c62-c1e6-4602-92e7-63050ee6f97a
All Ryffine maps must have a <title> element within the <map> element.,Map,4,rng,True,ryffineMap.rng,"<define name=""map"">","<ref name=""title""/>",False,8,e88d861a-ba5d-410f-af85-62a5865c68eb
All Ryffine maps may optionally have a <topicmeta> element within the <map> element.,Map,4,rng,True,ryffineMap.rng,"<define name=""map"">","<optional>\n        <ref name=""topicmeta""/>\n      </optional>",False,9,7ab8b2f9-0fea-423a-9130-9ec0ae42f01a
All Ryffine maps must have a <topicref> element as the top-level parent container topic for automated linking.,Map,4,rng,True,ryffineMap.rng,"<define name=""map"">","<!-- R4: Enforce one initial topicref -->\n      <ref name=""topicref""/>",False,10,58bf97b4-0637-4202-88de-be1e10a37b88
"Maps can have any number, at any level, and in any order of <topicgroup>, <mapref>, <topicref>.",Map,4,rng,True,ryffineMap.rng,"<define name=""map"">","<!-- R5: Then allow zeroOrMore of the choices -->\n      <zeroOrMore>\n        <choice>\n          <ref name=""topicref""/>\n          <ref name=""topicgroup""/>\n          <ref name=""mapref""/>\n          <!-- Add glossref here once defined for R9 -->\n          <ref name=""glossref""/>\n        </choice>\n      </zeroOrMore>",False,11,88046e55-ccf3-46e6-adc7-9c36eae48d76
Maps can optionally have a <reltable> element.,Map,4,rng,True,ryffineMap.rng,"<define name=""map"">","<optional>\n        <ref name=""reltable""/>\n      </optional>",False,12,66dcbbaa-a884-410e-a9f2-4c4b7e7d5ccf
Use the <title> element to define a title for the group of topics in a map.,Map,5,rng,False,,,,False,13,f223a6f4-bc18-40ca-bfb5-7d36de5a7341
Metadata specified in a <topicmeta> element cascades to all elements contained within the element to which the <topicmeta> is attached.,Map,5,programmatic,False,,,,False,14,5f22daa8-a9da-496e-bdbc-7e9e30ad31d6
"Metadata specified in <topicmeta> within a map overrides any metadata values for the same elements specified in the topics, unless multiple elements of that type are allowed.",Map,5,programmatic,False,,,,False,15,9ce2ead1-f5b8-48f7-87f5-17cd4a0226a9
Use <topicref> to point to a single DITA topic.,Map,5,rng,False,,,,False,16,bab28ef4-4fab-46e7-9b52-f6779ca25677
<topicref> must include the @href attribute to point to the path and file name for each DITA topic or external file.,Map,5,rng,True,ryffineMap.rng,"<define name=""topicref"">","<attribute name=""href"">\n        <data type=""string""/>\n      </attribute>",False,17,a5e1e876-98e8-4d84-8bae-0ddbdc37d83f
Nesting <topicref> elements in one another creates a navigational and hierarchical structure.,Map,5,rng,False,,,,False,18,f2a0bd53-b915-416f-8155-780e47403e85
Use <mapref> to point to a map of DITA topics.,Map,5,rng,False,,,,False,19,a7d8daf4-3550-43d0-850f-8aced6d3a42b
<mapref> must include the @href attribute to point to the path and file name for the DITA map.,Map,5,rng,True,ryffineMap.rng,"<define name=""mapref"">","<attribute name=""href"">\n        <data type=""string""/>\n      </attribute>",False,20,1ae6da62-09c3-49bd-8998-72fdaa0b9b6a
Use <reltable> to specify relationships between topics.,Map,5,rng,False,,,,False,21,ff0bc54b-433f-47b6-8d12-b2b9652d088f
Nest <topicref> elements in a <topicgroup> to establish linking relationships between them.,Map,5,rng,True,ryffineMap.rng,"<define name=""topicgroup"">","<oneOrMore>\n        <ref name=""topicref""/>\n      </oneOrMore>",False,22,a6f09f8d-322a-4b03-a324-e9c650277217
Use the @collection-type attribute on <topicgroup> to establish the type of relationship.,Map,5,rng,True,ryffineMap.rng,"<define name=""topicgroup"">","<!-- Make collection-type mandatory -->\n      <attribute name=""collection-type"">\n        <choice>\n          <value>family</value>\n          <value>sequence</value>\n        </choice>\n      </attribute>",False,23,2311640f-3bdd-4038-9118-c9dd76ba08df
The 'print' attribute specifies whether the topic should be included in print outputs (default is yes).,"Map, Bookmap",6,rng,True,ryffineMap.rng,"<define name=""topicref"">","<optional>\n        <attribute name=""print"">\n          <choice>\n            <value>yes</value>\n            <value>no</value>\n          </choice>\n        </attribute>\n      </optional>",False,24,ca233208-2e6a-4ab8-bcee-d28aee08a14b
Only use 'print=no' if you want to exclude the topic from print output.,"Map, Bookmap",6,rng,False,,,,False,25,5c749b56-a925-446a-822b-fe5e2752c2ab
The '@processing-role' attribute specifies if the topic is normal or a resource for reusable components.,"Map, Bookmap",6,rng,True,ryffineMap.rng,"<define name=""topicref"">","<optional>\n        <attribute name=""processing-role"">\n          <choice>\n            <value>normal</value>\n            <value>resource-only</value>\n          </choice>\n        </attribute>\n      </optional>",False,26,4be306f3-3f3c-473d-8c9b-da095c99bd40
"Only set '@processing-role=resource-only' when the topic is used as a resource only (e.g., key files).","Map, Bookmap",6,rng,False,,,,False,27,76ebfdc7-24d2-4d3b-9b44-3c743c6847e4
The '@toc' attribute specifies whether topics are included in a site map or table of contents (default is yes).,"Map, Bookmap",6,rng,True,ryffineMap.rng,"<define name=""topicref"">","<optional>\n        <attribute name=""toc"">\n          <choice>\n            <value>yes</value>\n            <value>no</value>\n          </choice>\n        </attribute>\n      </optional>",False,28,d6f2d1ea-9b1b-49d2-94bf-b05017a844ad
Only use '@toc=no' if you want to exclude the topic from the table of contents.,"Map, Bookmap",6,rng,False,,,,False,29,bc53a044-783a-4816-aeb3-524b972e53d0
The '@chunk=to-content' attribute specifies that all nested topics be combined together as a single topic when processed.,"Map, Bookmap",6,rng,True,ryffineMap.rng,"<define name=""topicref"">","<optional>\n        <attribute name=""chunk"">\n          <value>to-content</value> <!-- Only this value is allowed -->\n        </attribute>\n      </optional>",False,30,a60e00f2-5f79-4b86-9ab9-55c6bd1dce57
Only use '@chunk=to-content' if you want multiple topics to be displayed together as one topic in an outline output.,"Map, Bookmap",6,rng,False,,,,False,31,42892bc9-beb8-463d-af38-8b932b171734
The '@copy-to' attribute specifies a different file name for a particular instance of the topic in the map.,"Map, Bookmap",6,rng,True,ryffineMap.rng,"<define name=""topicref"">","<optional>\n        <attribute name=""copy-to"">\n          <data type=""string""/>\n        </attribute>\n      </optional>",False,32,bc703728-fa64-4cc5-ac60-f92b2069f651
Use '@copy-to' when including the same topic multiple times within the same map to ensure context is maintained.,"Map, Bookmap",6,rng,False,,,,False,33,c525a4e9-5d6f-4f0c-84df-e012e4df04e4
The '@title' attribute on a map element (e.g. topicref) specifies the title of the map (should be used to add the title of the DITA map if not using the topic's own title).,"Map, Bookmap",6,rng,True,ryffineMap.rng,"<define name=""map"">","<optional>\n        <attribute name=""title"">\n          <data type=""string""/>\n        </attribute>\n      </optional>",False,34,8695daab-59e8-4593-a235-23beb1fcdf86
"A map file contains <topicref>, <mapref>, and <glossref> elements in a hierarchic order.",Map,7,rng,True,ryffineMap.rng,"<define name=""map"">","<!-- R4: Enforce one initial topicref -->\n      <ref name=""topicref""/>\n      <!-- R5: Then allow zeroOrMore of the choices -->\n      <zeroOrMore>\n        <choice>\n          <ref name=""topicref""/>\n          <ref name=""topicgroup""/>\n          <ref name=""mapref""/>\n          <!-- Add glossref here once defined for R9 -->\n          <ref name=""glossref""/>\n        </choice>\n      </zeroOrMore>",False,35,72f276d9-50be-4a01-888f-fd665f51dca9
"Each of <topicref>, <mapref>, and <glossref> elements requires an @href attribute that points a topic or map.",Map,7,rng,True,ryffineMap.rng,"<define name=""topicref""> / <define name=""mapref""> / <define name=""glossref"">","<attribute name=""href"">\n        <data type=""string""/>\n      </attribute> (present in all three definitions)",False,36,bbdbfb6f-0420-41d0-9818-dbe3cc463eda
Map titles tend to be less specific than topic titles.,Map,7,semantic,False,,,,False,37,3bfd28aa-5ff4-4a5e-b098-62a917e7a61c
Map titles should categorize the information in the map.,Map,7,semantic,False,,,,False,38,f795c681-f1d9-459b-8a5d-685d177983b7
Ensure the map title indicates the range of topics the map contains.,Map,7,semantic,False,,,,False,39,c935d42d-8ab4-4b97-a5cf-80b1f8d29522
"In any single publication, map titles are closely tied together. Make each map title clearly differentiated.",Map,7,semantic,False,,,,False,40,70cbf8cf-99bc-4abf-b5f6-98b6c0dc5f92
"Avoid starting all map titles with the same words (e.g., product name); put differentiating words first.",Map,7,semantic,False,,,,False,41,59de273d-d9dc-4bcd-ad69-edf3bad08f51
All other relationships (non-parent/child) must be explicitly established through attributes or relationship tables.,Map,7,rng,False,,,,False,42,55b4dbf9-a4ce-47c5-b253-e631a125ff72
"Using the @collection-type attribute on a <topicref> or <topicgroup>, you can establish links through the hierarchical structure of a map.",Map,7,rng,True,ryffineMap.rng,"<define name=""topicref""> / <define name=""topicgroup"">","<attribute name=""collection-type"">\n        <choice>\n          <value>family</value>\n          <value>sequence</value>\n        </choice>\n      </attribute> (present in both definitions)",False,43,852c5e6a-b169-4380-bf54-1dbe47b8d3e6
@collection-type='family' means all topics within the group are related to all other topics.,Map,7,rng,True,ryffineMap.rng,"<define name=""topicref""> / <define name=""topicgroup"">","<attribute name=""collection-type"">\n        <choice>\n          <value>family</value>\n          <value>sequence</value>\n        </choice>\n      </attribute>",False,44,664cd82e-56bd-4617-b1aa-38f3120d78fa
@collection-type='sequence' means topics are related to topics immediately before and after them via Next/Previous links.,Map,7,rng,True,ryffineMap.rng,"<define name=""topicref""> / <define name=""topicgroup"">","<attribute name=""collection-type"">\n        <choice>\n          <value>family</value>\n          <value>sequence</value>\n        </choice>\n      </attribute>",False,45,ea6fdc1e-3457-44aa-a603-e70695d6ab0e
Specify the @collection-type attribute on the parent topic of the topics you want to link together.,Map,7,rng,False,,,,False,46,d030f00f-3c7b-4e16-8551-1e2ea39f46c0
"If you don't want to promote one topic over another, first nest related topics in a <topicgroup> and then assign the @collection-type attribute.",Map,8,rng,False,,,,False,47,04c174bf-9f36-43bf-b513-847a44492e45
"When topics are not grouped together within the hierarchy of the map, you must use a relationship table to establish links.",Map,8,rng,False,,,,False,48,ea950a99-f58e-4d6d-8135-4ea997373501
"Structure bookmaps with elements in the order shown: <bookmap> (required), <booktitle> (required), <mainbooktitle> (required), <booktitlealt> (optional), <bookmeta> (required), <frontmatter> (required).",Bookmap,8,rng,True,ryffineBookmap.rng,"<define name=""bookmap"">","<element name=""bookmap"">\n      <ref name=""id-atts""/>\n      <ref name=""lang-atts""/>\n      <ref name=""booktitle""/>\n      <ref name=""bookmeta""/>\n      <ref name=""frontmatter""/>\n      <oneOrMore>\n        <ref name=""chapter""/>\n      </oneOrMore>\n      <optional>\n        <choice>\n          <oneOrMore>\n            <ref name=""appendix""/>\n          </oneOrMore>\n          <ref name=""appendices""/>\n        </choice>\n      </optional>\n      <optional>\n        <ref name=""backmatter""/>\n      </optional>\n      <optional>\n        <ref name=""reltable""/>\n      </optional>\n    </element>",False,49,5156fc89-b273-4a4c-9e25-457e002177e0
<frontmatter> must contain <notices> (Legal notices boilerplate).,Bookmap,8,rng,True,ryffineBookmap.rng,"<define name=""frontmatter"">","<optional>\n        <ref name=""notices""/>\n      </optional>\n      <optional>\n        <ref name=""preface""/>\n      </optional>\n      <optional>\n        <ref name=""booklists""/>\n      </optional>\n    </element>\n(Note: RNG shows notices as optional, but the text states it must be present for legal notices. Assuming the text rule implies it is used when legal notices are needed, and RNG allows its presence)",False,50,04d2df13-730a-4e23-a55d-1cc1266992c2
<frontmatter> may optionally contain <preface> (must be placed before TOC).,Bookmap,8,rng,True,ryffineBookmap.rng,"<define name=""frontmatter"">","<optional>\n        <ref name=""preface""/>\n      </optional>\n(Order relative to TOC is a processing/best practice, RNG defines optional presence)",False,51,ccc345ab-4f94-4f7e-8737-998ed98c0070
"<frontmatter> may optionally contain <booklists> (which can contain <toc>, <figurelist>, <tablelist>).",Bookmap,8,rng,True,ryffineBookmap.rng,"<define name=""frontmatter"">","<optional>\n        <ref name=""booklists""/>\n      </optional>",False,52,eddacb3e-16da-43f2-84cb-3378911f3a7f
<toc> is optional within <booklists>; small documents do not need a toc.,Bookmap,8,rng,True,ryffineBookmap.rng,"<define name=""booklists"">","<optional>\n        <ref name=""toc""/>\n      </optional>",False,53,c3f80d29-5cc9-4827-a308-b780aefc1dc9
Bookmaps must contain one or more <chapter> elements.,Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""bookmap"">","<oneOrMore>\n        <ref name=""chapter""/>\n      </oneOrMore>",False,54,410034c7-f9b2-4e1e-b5dc-0bb1abcf9668
<chapter> elements may optionally contain <topicref> or <mapref> elements.,Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""chapter"">","<zeroOrMore>\n        <choice>\n          <ref name=""topicref""/>\n          <ref name=""mapref""/>\n        </choice>\n      </zeroOrMore>",False,55,7707e9df-2ab0-4c10-9962-9a2cc49a5acb
Bookmaps may contain any number of <appendix> elements (optional).,Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""bookmap"">","<optional>\n        <choice>\n          <oneOrMore>\n            <ref name=""appendix""/>\n          </oneOrMore>\n          <ref name=""appendices""/>\n        </choice>\n      </optional>",False,56,394294d0-29b6-4a37-90c8-da37a9c6fb1a
Bookmaps may contain <backmatter> (optional).,Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""bookmap"">","<optional>\n        <ref name=""backmatter""/>\n      </optional>",False,57,e1c7646e-654b-4bae-aa47-b9f4c3e494fb
<backmatter> must contain one <topicref> for the Document Revision history topic (required).,Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""backmatter"">","<zeroOrMore>\n        <ref name=""topicref""/>\n      </zeroOrMore>\n(RNG allows zeroOrMore, the 'one required for rev history' is a content rule. For a strict structural enforcement of *one*, it would need to be <ref name=""topicref""/>)",False,58,ae049199-b720-4f01-bba5-1f2ead0677c7
<backmatter> may optionally contain <booklists> (which can contain <indexlist>).,Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""backmatter"">","<optional>\n        <ref name=""booklists""/>\n      </optional>",False,59,950d05ea-80b5-403b-99ac-6887a9b68567
<backmatter> may optionally contain <reltable>.,Bookmap,9,rng,True,ryffineBookmap.rng,"<define name=""backmatter"">","<optional><ref name=""reltable""/></optional>",False,60,c9d13b0c-a88f-411b-b228-16bdc4f7cdda
Use the <booklibrary> element to provide the product family. This element is used in conjunction with <mainbooktitle> and <booktitlealt>.,Bookmap,9,rng,False,,,,False,61,e2bd0624-eda2-4f11-88b8-202fe6aa5a02
"Use <mainbooktitle> to provide the document type (e.g., Hardware Description, Installation Guide).",Bookmap,9,rng,False,,,,False,62,7d9d0144-8eda-4181-9db7-9059e6d7bd6a
Use <booktitlealt> to provide an alternative document title.,Bookmap,9,rng,False,,,,False,63,0f93133a-9884-497d-960c-ff6beb6fd6b9
