rule,applicable_to,implemented,rule_location,rule_element,rule_file,rule_code,type,rule_type,optional,error_regex,context_required,rule_id
Attribute set 'id-atts' provides: attribute @id (must be a valid ID) (optional).,"['LearningOverview', 'Glossentry', 'Bookmap', 'Troubleshooting', 'Map', 'Concept', 'Task', 'Reference']",True,,"<define name=""id-atts"">",common/ryffineCommonAttributes.rng,"<define name=""id-atts"">
    <optional>
      <attribute name=""id"">
        <data type=""ID""/>
      </attribute>
    </optional>
  </define>",rng,attribute_set_rule,True,"['element ""(.+?)"" not allowed anywhere; missing required element ""(.+?)""', 'element ""(.+?)"" not allowed anywhere; expected the element end-tag, text or element (?:"".+?""(?:, | or ))*', 'element ""(.+?)"" not allowed anywhere; expected the element end-tag or element (?:"".+?""(?:, | or ))*', 'element ""(.+?)"" not allowed anywhere; expected element (?:"".+?""(?:, | or ))*', 'element ""(.+?)"" not allowed anywhere; expected the element end-tag or text', 'element ""(.+?)"" not allowed anywhere; expected the element end-tag']",False,1
Attribute set 'lang-atts' provides: attribute @xml:lang (must be a valid language) (optional).,"['LearningOverview', 'Glossentry', 'Bookmap', 'Troubleshooting', 'Map', 'Concept', 'Task', 'Reference']",True,,"<define name=""lang-atts"">",common/ryffineCommonAttributes.rng,"<define name=""lang-atts"">
    <optional>
      <attribute name=""xml:lang"">
        <data type=""language""/>
      </attribute>
    </optional>
  </define>",rng,attribute_set_rule,True,"['element ""(.+?)"" not allowed anywhere; missing required element ""(.+?)""', 'element ""(.+?)"" not allowed anywhere; expected the element end-tag, text or element (?:"".+?""(?:, | or ))*', 'element ""(.+?)"" not allowed anywhere; expected the element end-tag or element (?:"".+?""(?:, | or ))*', 'element ""(.+?)"" not allowed anywhere; expected element (?:"".+?""(?:, | or ))*', 'element ""(.+?)"" not allowed anywhere; expected the element end-tag or text', 'element ""(.+?)"" not allowed anywhere; expected the element end-tag']",False,2
"Element <addressdetails> children must appear in order: <thoroughfare>, <locality>, <administrativearea>, <country>.",['Bookmap'],True,,"<define name=""addressdetails"">",rng/ryffineBookmap.rng,"<define name=""addressdetails"">
    <element name=""addressdetails"">
      <ref name=""thoroughfare""/>
      <ref name=""locality""/>
      <ref name=""administrativearea""/>
      <ref name=""country""/>
    </element>
  </define>",rng,order_rule,False,"['element ""(.+?)"" not allowed (?:yet|here); missing required element ""(.+?)""', 'element ""(.+?)"" not allowed (?:yet|here); expected element (?:"".+?""(?:, | or ))*', 'element ""(.+?)"" not allowed (?:yet|here); expected the element end-tag or element (?:"".+?""(?:, | or ))*', 'element ""(.+?)"" not allowed (?:yet|here); expected the element end-tag', 'element ""(.+?)"" not allowed (?:yet|here); expected the element end-tag or text', 'element ""(.+?)"" not allowed (?:yet|here); expected the element end-tag, text or element (?:"".+?""(?:, | or ))*', 'text not allowed here; expected element (?:"".+?""(?:, | or ))*', 'text not allowed here; expected the element end-tag', 'text not allowed here; expected the element end-tag or element ""(.+?)""']",False,3
Element <addressdetails> must contain element <administrativearea>.,['Bookmap'],True,,"<define name=""addressdetails"">",rng/ryffineBookmap.rng,"<define name=""addressdetails"">
    <element name=""addressdetails"">
      <ref name=""thoroughfare""/>
      <ref name=""locality""/>
      <ref name=""administrativearea""/>
      <ref name=""country""/>
    </element>
  </define>",rng,content_rule,False,"['element ""addressdetails"" missing required attribute ""(.+?)""', 'element ""addressdetails"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""addressdetails"" incomplete; missing required element ""(.+?)""', 'element ""addressdetails"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,4
Element <addressdetails> must contain element <country>.,['Bookmap'],True,,"<define name=""addressdetails"">",rng/ryffineBookmap.rng,"<define name=""addressdetails"">
    <element name=""addressdetails"">
      <ref name=""thoroughfare""/>
      <ref name=""locality""/>
      <ref name=""administrativearea""/>
      <ref name=""country""/>
    </element>
  </define>",rng,content_rule,False,"['element ""addressdetails"" missing required attribute ""(.+?)""', 'element ""addressdetails"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""addressdetails"" incomplete; missing required element ""(.+?)""', 'element ""addressdetails"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,5
Element <addressdetails> must contain element <locality>.,['Bookmap'],True,,"<define name=""addressdetails"">",rng/ryffineBookmap.rng,"<define name=""addressdetails"">
    <element name=""addressdetails"">
      <ref name=""thoroughfare""/>
      <ref name=""locality""/>
      <ref name=""administrativearea""/>
      <ref name=""country""/>
    </element>
  </define>",rng,content_rule,False,"['element ""addressdetails"" missing required attribute ""(.+?)""', 'element ""addressdetails"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""addressdetails"" incomplete; missing required element ""(.+?)""', 'element ""addressdetails"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,6
Element <addressdetails> must contain element <thoroughfare>.,['Bookmap'],True,,"<define name=""addressdetails"">",rng/ryffineBookmap.rng,"<define name=""addressdetails"">
    <element name=""addressdetails"">
      <ref name=""thoroughfare""/>
      <ref name=""locality""/>
      <ref name=""administrativearea""/>
      <ref name=""country""/>
    </element>
  </define>",rng,content_rule,False,"['element ""addressdetails"" missing required attribute ""(.+?)""', 'element ""addressdetails"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""addressdetails"" incomplete; missing required element ""(.+?)""', 'element ""addressdetails"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,7
Element <administrativearea> must contain only text.,['Bookmap'],True,,"<define name=""administrativearea"">",rng/ryffineBookmap.rng,"<define name=""administrativearea"">
    <element name=""administrativearea"">
      <text/>
    </element>
  </define>",rng,content_rule,False,"['element ""administrativearea"" missing required attribute ""(.+?)""', 'element ""administrativearea"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""administrativearea"" incomplete; missing required element ""(.+?)""', 'element ""administrativearea"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,8
Element <alt> must contain only text.,"['LearningOverview', 'Glossentry', 'Troubleshooting', 'Concept', 'Task', 'Reference']",True,,"<define name=""alt"">",common/ryffineCommonElements.rng,"<define name=""alt"">
    <element name=""alt"">
      <text/>
    </element>
  </define>",rng,content_rule,False,"['element ""alt"" missing required attribute ""(.+?)""', 'element ""alt"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""alt"" incomplete; missing required element ""(.+?)""', 'element ""alt"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,9
Element <appendices> can optionally contain element <topicmeta>.,['Bookmap'],True,,"<define name=""appendices"">",rng/ryffineBookmap.rng,"<define name=""appendices"">
    <element name=""appendices"">
      <!-- Add id-atts, lang-atts if needed -->
      <optional><ref name=""topicmeta""/></optional> <!-- Common for grouping elements -->
      <oneOrMore>
        <ref name=""appendix""/>
      </oneOrMore>
    </element>
  </define>",rng,content_rule,True,"['element ""appendices"" missing required attribute ""(.+?)""', 'element ""appendices"" missing required attribute(?:s)? ((?:"".+?""(?:, | and ))*"".+?"")', 'element ""appendices"" incomplete; missing required element ""(.+?)""', 'element ""appendices"" incomplete; expected element (?:"".+?""(?:, | or ))*']",False,10
